team,squad_size,kaggle_match_count,kaggle_match_rate,squad_total_market_value,squad_avg_market_value,top11_avg_market_value,top18_avg_market_value,goalkeeper_total_value,defender_total_value,midfielder_total_value,forward_total_value,squad_avg_age,total_caps,total_international_goals,forward_international_goals,goalkeeper_caps,defensive_experience_caps,recent_club_appearances_total,recent_club_goals_total,recent_club_assists_total,squad_quality_index,recent_club_goals_per_app,data_quality_warnings
Curaçao,26,25,0.962,35906000.0,1501087.0,2672727.0,1859722.0,312000.0,13442000.0,10972000.0,11180000.0,28.1,621,72,29,84,154,413.9,26.0,28.1,43690400.0,0.063,
Czech Republic,26,26,1.0,123000000.0,7687500.0,10681818.0,7687500.0,20500000.0,36600000.0,19900000.0,46000000.0,27.7,738,99,53,36,237,594.0,80.0,40.0,149980000.0,0.135,
Côte D'Ivoire,26,24,0.923,234216667.0,10810000.0,19272727.0,11988889.0,4387500.0,101183333.0,6445833.0,122200000.0,25.9,706,82,38,40,223,666.2,73.7,69.3,296605833.0,0.111,
Ecuador,26,25,0.962,156416000.0,8847059.0,13531818.0,8847059.0,130000.0,145808000.0,6552000.0,3926000.0,26.1,770,94,68,46,277,226.7,12.5,9.4,159689400.0,0.055,
Egypt,26,22,0.846,143265909.0,6380263.0,10909091.0,6733333.0,1240909.0,15954545.0,502273.0,125568182.0,29.1,831,128,109,87,208,177.3,60.3,30.7,206150455.0,0.34,
England,26,26,1.0,801975000.0,30845192.0,69090909.0,44469444.0,15425000.0,195000000.0,321100000.0,270450000.0,27.2,842,149,123,90,190,872.0,103.0,97.0,1001420000.0,0.118,
France,26,22,0.846,636645455.0,31688235.0,48727273.0,31688235.0,57909091.0,240677273.0,136854545.0,201204545.0,27.0,803,100,80,44,305,855.6,124.1,147.7,764618636.0,0.145,
Germany,26,26,1.0,757025000.0,29116346.0,56181818.0,41555556.0,19000000.0,195800000.0,362225000.0,180000000.0,28.1,844,105,32,140,326,1293.0,173.0,161.0,919470000.0,0.134,
Ghana,26,26,1.0,129225000.0,5873864.0,11554545.0,7159722.0,450000.0,10725000.0,66850000.0,51200000.0,27.0,569,68,45,44,150,317.0,46.0,19.0,168195000.0,0.145,
Haiti,26,22,0.846,57613636.0,2437500.0,4259091.0,2697222.0,590909.0,10400000.0,19677273.0,26945455.0,27.5,629,115,102,107,202,251.7,22.5,15.4,75021818.0,0.089,
IR Iran,26,19,0.731,28223684.0,1289062.0,1772727.0,1289062.0,4789474.0,3318421.0,13136842.0,6978947.0,30.4,1176,148,77,116,470,194.3,34.2,23.3,34340526.0,0.176,
Iraq,26,25,0.962,8268000.0,567857.0,704545.0,567857.0,364000.0,208000.0,5772000.0,1924000.0,26.9,829,88,67,141,242,62.4,3.1,6.2,10384400.0,0.05,
Japan,26,26,1.0,127175000.0,7480882.0,11272727.0,7480882.0,900000.0,38600000.0,70175000.0,17500000.0,27.5,807,113,32,40,347,566.0,107.0,45.0,149960000.0,0.189,
Jordan,26,16,0.615,731250.0,150000.0,150000.0,150000.0,0.0,446875.0,284375.0,0.0,28.5,1063,90,67,97,360,14.6,0.0,0.0,788125.0,0.0,
Korea Republic,26,17,0.654,54829412.0,3259091.0,3259091.0,3259091.0,76471.0,382353.0,21488235.0,32882353.0,28.1,974,144,75,138,206,325.8,56.6,42.8,75568235.0,0.174,
Mexico,26,26,1.0,56285000.0,2558409.0,5022727.0,3113889.0,1400000.0,1135000.0,8100000.0,45650000.0,27.9,1237,120,75,175,443,126.0,21.0,11.0,80730000.0,0.167,
Morocco,26,25,0.962,266370000.0,13480263.0,23045455.0,14226389.0,1040000.0,124436000.0,140634000.0,260000.0,26.6,707,101,63,145,201,646.9,88.4,78.0,294626800.0,0.137,
Netherlands,26,26,1.0,593250000.0,23730000.0,40000000.0,31833333.0,43600000.0,243000000.0,175650000.0,131000000.0,27.8,861,153,107,42,300,1213.0,159.0,95.0,693880000.0,0.131,
New Zealand,26,26,1.0,12425000.0,653947.0,1018182.0,687500.0,500000.0,6925000.0,3650000.0,1350000.0,28.1,853,109,66,39,311,96.0,20.0,5.0,13830000.0,0.208,
Norway,26,26,1.0,355300000.0,17765000.0,31363636.0,19725000.0,2200000.0,35800000.0,45050000.0,272250000.0,26.8,801,121,96,78,184,838.0,146.0,100.0,500435000.0,0.174,
Panama,26,24,0.923,7664583.0,416176.0,595455.0,416176.0,1787500.0,5064583.0,758333.0,54167.0,30.5,1541,127,37,110,557,60.7,5.4,1.1,7843333.0,0.089,
Paraguay,26,24,0.923,66245833.0,2911905.0,5381818.0,3375000.0,487500.0,21341667.0,14543750.0,29872917.0,29.0,689,53,20,37,277,154.9,10.8,13.0,84091042.0,0.07,
Portugal,26,26,1.0,218050000.0,8386538.0,19640909.0,12086111.0,450000.0,69675000.0,94825000.0,53100000.0,28.1,1161,259,188,51,319,287.0,39.0,44.0,263565000.0,0.136,
Qatar,26,23,0.885,42306522.0,2339062.0,3386364.0,2339062.0,33913043.0,2034783.0,565217.0,5793478.0,29.5,1570,216,167,76,421,81.4,35.0,20.3,45316304.0,0.431,
Saudi Arabia,26,20,0.769,5850000.0,642857.0,642857.0,642857.0,0.0,5070000.0,487500.0,292500.0,28.5,927,96,75,98,275,58.5,2.6,6.5,6093750.0,0.044,
Scotland,26,25,0.962,121056000.0,4656000.0,10227273.0,6422222.0,3380000.0,46306000.0,49582000.0,21788000.0,29.2,973,98,33,109,408,301.6,48.9,21.8,141866400.0,0.162,
Senegal,26,26,1.0,48050000.0,2002083.0,4190909.0,2644444.0,2050000.0,40850000.0,1050000.0,4100000.0,27.1,1016,131,94,65,287,233.0,3.0,10.0,50310000.0,0.013,
South Africa,26,23,0.885,1073913.0,237500.0,237500.0,237500.0,113043.0,0.0,791304.0,169565.0,26.8,538,66,33,76,142,32.8,1.1,0.0,1316957.0,0.034,
Spain,26,26,1.0,581885000.0,24245208.0,50363636.0,32288889.0,35610000.0,169800000.0,171150000.0,205325000.0,26.8,743,117,78,73,161,870.0,121.0,120.0,718777500.0,0.139,
Sweden,26,26,1.0,247825000.0,11264773.0,21954545.0,13730556.0,300000.0,32100000.0,94700000.0,120725000.0,27.6,515,65,47,36,201,589.0,103.0,51.0,327127500.0,0.175,
Switzerland,26,26,1.0,187350000.0,7806250.0,15409091.0,10316667.0,43200000.0,49500000.0,50800000.0,43850000.0,28.3,1132,124,66,35,388,789.0,49.0,56.0,219435000.0,0.062,
Tunisia,26,24,0.923,95766667.0,4652632.0,7636364.0,4905556.0,15166667.0,17279167.0,59258333.0,4062500.0,26.7,580,43,18,41,228,478.8,36.8,35.8,109649583.0,0.077,
Türkiye,26,24,0.923,153968750.0,5921875.0,12381818.0,7877778.0,23887500.0,40570833.0,56360417.0,33150000.0,27.7,973,97,43,88,358,651.1,81.2,68.2,181815833.0,0.125,
United States,26,26,1.0,150400000.0,7161905.0,13409091.0,8333333.0,950000.0,32450000.0,24600000.0,92400000.0,26.9,962,125,80,70,351,423.0,46.0,43.0,201520000.0,0.109,
Uruguay,26,26,1.0,94875000.0,4993421.0,8495455.0,5269444.0,4250000.0,12275000.0,66150000.0,12200000.0,28.8,927,74,24,177,262,236.0,18.0,15.0,114205000.0,0.076,
Uzbekistan,26,24,0.923,57904167.0,4859091.0,4859091.0,4859091.0,433333.0,38864583.0,13054167.0,5552083.0,28.5,1023,132,71,65,316,179.8,34.7,18.4,63291042.0,0.193,
